"MS_Id","MS_Name","MS_Author","MS_EditorId","MS_StatusId","MS_ReadingStatus"
"1","One Piece","Eiichiro Oda","1","1","1"
"2","Gigantomaquia","Kentaro Miura","1","2","2"
"3","Sword Art Online 1 Aincrad","Reki Kawahara, Tamako Nakamura","1","2","2"
"4","Re:Zero Daiisshou (Chapter 1)","Daichi Matsuse, Tappei Nagatsuki","1","2","2"
"5","The Hellbound","Sang-ho Yeon, Gyu-seokChoi","1","2","2"
"6","Ataque de los Titanes (SO4) Guide","Hajime Isayama","1","2","1"
"7","One Piece Grand Series","Eiichiro Oda","1","1","1"
"8","Ataque de los Titanes","Hajime Isayama","1","2","1"
"9","Blue Period","Tsubasa Yamaguchi","1","1","1"
"10","Death Note Black Edition","Tsugumi Oba, Takeshi Obata","1","1","1"
"11","Demon Slayer","Koyoharu Gotoge","1","2","1"
"12","Fairy Tail","Hiro Mashima","1","2","1"
"13","Frieren - Más allá del fin del viaje","Tsukasa Abe","1","1","1"
"14","Kaiju N.8","Naoya Matsumoto","1","1","1"
"15","The Promise Neverland","Kaiu Shirai, Posuka Demizu","1","2","1"
"16","Tokyo Revengers","Ken Wakui","1","1","1"
"17","Komi-san can’t communicate","Tomohito Oda","1","1","1"
"18","Shangri-La Frontier","Katarina, Ryosuke Fuji","1","1","1"
"19","Made in Abyss","Akihito Tsukushi","1","1","1"
"20","Mashle Magia y Musculo","Hajime Komoto","1","1","3"
"21","Tokyo Revengers Guide Book","Ken Wakui","1","1","1"
